Fish_ID,Oldenburg_ID,Genotype
BH-80124,3-1-10,
BH-80115,3-1-101,
BH-80116,3-1-102,
BH-80117,3-1-103,
BH-80118,3-1-104,
BH-80119,3-1-105,
BH-80120,3-1-106,
BH-80121,3-1-107,
BH-80122,3-1-108,
BH-80123,3-1-109,
BH-80094,3-1-11,
BH-80095,3-1-12,
BH-80125,3-1-12,
BH-80127,3-1-14,
BH-80099,3-1-16,
BH-80100,3-1-17,
BH-80101,3-1-18,
BH-80104,3-1-21,
BH-80106,3-1-22,
BH-80105,3-1-23,
BH-80035,3-1-26,
BH-80036,3-1-27,
BH-80037,3-1-29,
BH-80038,3-1-30,
BH-80039,3-1-31,
BH-80040,3-1-32,
BH-80041,3-1-33,
BH-80042,3-1-34,
BH-80043,3-1-35,
BH-80045,3-1-37,
BH-80046,3-1-38,
BH-80083,3-1-39,
BH-80047,3-1-40,
BH-80048,3-1-41,
BH-80049,3-1-42,
BH-80050,3-1-43,
BH-80051,3-1-45,
BH-80052,3-1-46,
BH-80054,3-1-48,
BH-80055,3-1-49,
BH-80056,3-1-50,
BH-80058,3-1-52,
BH-80059,3-1-53,
BH-80060,3-1-54,
BH-80061,3-1-55,
BH-80062,3-1-56,
BH-80063,3-1-57,
BH-80065,3-1-59,
BH-80067,3-1-61,
BH-80068,3-1-62,
BH-80069,3-1-65,
BH-80070,3-1-66,
BH-80072,3-1-68,
BH-80073,3-1-69,
BH-80074,3-1-70,
BH-80075,3-1-71,
BH-80077,3-1-73,
BH-80080,3-1-76,
BH-80081,3-1-77,
BH-80082,3-1-78,
BH-80084,3-1-79,
BH-80085,3-1-81,
BH-80087,3-1-82,
BH-80088,3-1-84,
BH-80090,3-1-87,
BH-80091,3-1-88,
BH-80092,3-1-89,
BH-80129,3-1-92,
BH-80131,3-1-94,
BH-80132,3-1-95,
BH-80133,3-1-96,
BH-80134,3-1-97,
BH-80272,3-2-1,
BH-80263,3-2-107,
BH-80146,3-2-154,
BH-80198,3-2-29,
BH-80000,3-3-27,
BH-80001,3-3-28,
BH-80003,3-3-29,
BH-80004,3-3-30,
BH-80006,3-3-32,
BH-80007,3-3-33,
BH-80009,3-3-35,
BH-80011,3-3-37,
BH-80012,3-3-38,
BH-80013,3-3-39,
BH-80031,3-3-41,
BH-80033,3-3-46,
BH-80445,4-1-101,
BH-80353,4-1-13,
BH-80435,4-1-208,
BH-80460,4-1-51,
BH-80454,4-1-92,
